,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
1676,"SAMSON B (Adelis-SAMSON, Space Autonomous Mission for Swarming and Geolocating Nanosatellites)",Israel Institute Of Technology,Israel,6U,2021-03-22,"Unknown, ?",Demonstrate long-term autonomous cluster flight of multiple satellites.,
1677,"SAMSON C (Adelis-SAMSON, Space Autonomous Mission for Swarming and Geolocating Nanosatellites)",Israel Institute Of Technology,Israel,6U,2021-03-22,"Unknown, ?",Demonstrate long-term autonomous cluster flight of multiple satellites.,
1678,SMOG-1,Budapest University of Technology and Economics,Hungary,PocketQube 1p,2021-03-22,Operational,It's mission is to measure the RF spectrum (430-830MHz) in the Low Earth Orbit.,
1679,STECCO (Space Travelling Egg Controlled Catadioptric Object),Sapienza Università di Rom,Italy,PocketQube 6p,2021-03-22,Operational,Educational mission with amateur radio payload.,
1680,"Veery Hatchling (Veery-RL1, Veery V0.1, Clay)",Care Weather Technologies,US,1U,2021-03-22,Operational,Building phone—sized weather satellites to power a super accurate forecast.,
1681,"WildTrackCube – SIMBA (System for Improving Monitoring the Behaviour of Animals, IKUNS 3)",Sapienza University of Rome,Italy,1U,2021-03-22,Operational,System for Improving monitoring the behaviour of animals and amateur radio mission.,
1682,All-Bravo (Bravo),Aurora Insight,US,6U,2021-04-29,Operational,Take trillions of measurements to produce valuable information on RF spectrum and the networks that rely on it.,
1683,"ELO Alpha (Tyvak-182A, Eutelsat LEO for Objects)",Eutelsat,US,3U,2021-04-29,Operational,Assess the performance of LEO satellites in providing narrowband connectivity for objects.,
1684,Lemur-2 138 Amanda-Svante,Spire,US,3U,2021-04-29,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1685,Lemur-2 139 Special K,Spire,US,3U,2021-04-29,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1686,"Tyvak-0130 (GEOStareSV2, GEOStare-2)",Tyvak,US,12U,2021-05-15,Operational,Optical spectrum astronomy observation satellite with GEOstare 2 payload.,
1687,"TDO-3 (Technology Demonstration Orbiter, TDO 3 Spacecraft)",US Air Force Research Laboratory,US,12U,2021-05-18,"Unknown, Passive, ?",Second CubeSat in GTO. Test orbital debris tracking technologies.,
1688,"TDO-4 (Technology Demonstration Orbiter, TDO 4 Spacecraft)",US Air Force Research Laboratory,US,12U,2021-05-18,"Unknown, Passive, ?",Second CubeSat in GTO. Test orbital debris tracking technologies.,
1689,"Gundam 2 (G-Satellite 2, G-Sat, BD-28)",University of Tokyo,Japan,3U,2021-06-03,No signal,Satellite to celebrate Tokyo 2020 Olympics carrying toy figures and taking photos of a screen with Earth in the background.,
1690,"MIR-SAT1 (Mauritian Infrared Satellite, Mir-Sat-1, MirSat1)",Mauritius Research Council,Mauritius,1U,2021-06-03,"Operational, Reentered",Collecting images of Mauritius and surrounding regions using longwave infrared (LWIR) thermal camera.,
1691,RamSat,Oak Ridge Public Schools,US,1U,2021-06-03,Operational,Education mission to develop and implement a middle school STEM curriculum for building a CubeSat.,
1692,"SOAR (Satellite for Orbital Aerodynamics Research, DISCOVERER)",The University of Manchester,UK,3U,2021-06-03,"Operational, Reentered",Demonstrate aerodynamic attitude and orbit control manoeuvres.,
1693,"ARTHUR, (RRF1-Arthur, Risk Reduction Flight ARTHUR-1)",Aerospacelab,Belgium,12U,2021-06-30,Operational,Demonstrate spacecraft bus technologies and 5 meter Earth imagery for a future constellation.,
1694,Astrocast 8 (ASTROCAST-0201),Astrocast,Switzerland,3U,2021-06-30,Operational,Constellation for IoT/M2M services.,
1695,Astrocast 9 (ASTROCAST-0202),Astrocast,Switzerland,3U,2021-06-30,Operational,Constellation for IoT/M2M services.,
1696,Astrocast 10 (ASTROCAST-0203),Astrocast,Switzerland,3U,2021-06-30,Operational,Constellation for IoT/M2M services.,
1697,Astrocast 11 (ASTROCAST-0204),Astrocast,Switzerland,3U,2021-06-30,Operational,Constellation for IoT/M2M services.,
1698,Astrocast 12 (ASTROCAST-0205),Astrocast,Switzerland,3U,2021-06-30,Operational,Constellation for IoT/M2M services.,
1699,"Brik2 (Brik-II, BRIK-II)",Royal Netherlands Air Force,Netherlands,6U,2021-06-30,Operational,Military RF receiver and Langmuir probe to measure electron density.,
1700,Centauri-4 (Tyvak-0211),Fleet Space,Australia,6U,2021-06-30,Operational,IoT satellite network.,
1701,"CNCE1 (Cubesat Networked Communications Experiment, CNCE Block 1)",Missile Defense Agency,US,3U,2021-06-30,Operational,The cubesats will mimic two suborbital missile interceptor vehicles and test communications between them.,
1702,"CNCE3 (Cubesat Networked Communications Experiment, CNCE Block 1)",Missile Defense Agency,US,3U,2021-06-30,Operational,The cubesats will mimic two suborbital missile interceptor vehicles and test communications between them.,
1703,D2/AtlaCom-1,Mexican Space Agency,Mexico,6U,2021-06-30,Operational,"Allow youth to train in the capture, analysis and processing of satellite images, while the first pilot program of its kind in the history of the country will be carried out, to boost agricultural productivity.",
1704,Faraday-1b (Faraday Phoenix),In-Space Missions,UK,6U,2021-06-30,Operational,Hosted payload opportunities for early service and technology demonstration.,
1705,GHALIB,Marshall Intec,United Arab Emirates,2U,2021-06-30,Operational,"Demonstrator turn-key mission for space-based tracking of falcon migration, which could become a 6 satellite constellation.",
1706,Gunsmoke-J 4 (Jacob's Ladder),US Army Space and Missile Defense Command,US,6U,2021-06-30,Operational,Demonstrate a diverse situational awareness capability from LEO that will directly benefit the Army Warfighter in theater.,
1707,HALO-Net Free Flyer,US Navy,US,3U,2021-06-30,Unknown,Primary experiment on HALO-Net Free Flyer is the retroreflector array.,
1708,"KSF1 A (KSF1-A, Kleos Space – Polar Vigilance Mission, Kleos-5)",Kleos Space,UK,6U,2021-06-30,Operational,Form the foundation of a constellation that delivers a global picture of hidden maritime activity.,
1709,"KSF1 B (KSF1-B, Kleos Space – Polar Vigilance Mission, Kleos-6)",Kleos Space,UK,6U,2021-06-30,Operational,Form the foundation of a constellation that delivers a global picture of hidden maritime activity.,
1710,"KSF1 C (KSF1-C, Kleos Space – Polar Vigilance Mission, Kleos-7)",Kleos Space,UK,6U,2021-06-30,Operational,Form the foundation of a constellation that delivers a global picture of hidden maritime activity.,
1711,"KSF1 D (KSF1-D, Kleos Space – Polar Vigilance Mission, Kleos-8)",Kleos Space,UK,6U,2021-06-30,Operational,Form the foundation of a constellation that delivers a global picture of hidden maritime activity.,
1712,Lemur-2 140 AC-CUBED,Spire,US,3U,2021-06-30,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1713,Lemur-2 141 ANNABANANA,Spire,US,3U,2021-06-30,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1714,Lemur-2 142 JACKSON,Spire,US,3U,2021-06-30,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1715,Lemur-2 143 JOHN-TREIRES,Spire,US,3U,2021-06-30,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1716,Lemur-2 144 MERIMA,Spire,US,3U,2021-06-30,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1717,Lemur-2 145 CARLSANTAMARI,Spire,US,3U,2021-06-30,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1718,LINCS1 A (Laser Interconnet & Communications System),Space Development Agency,US,12U,2021-06-30,"No signal, ?",Optical communications terminals that use lasers to beam data across space.,
1719,LINCS2 B (Laser Interconnet & Communications System),Space Development Agency,US,12U,2021-06-30,"No signal, ?",Optical communications terminals that use lasers to beam data across space.,
1720,"NAPA-2 (RTAF-Sat, RTAFSAT-2, Royal Thai Air Force CubeSat, Firmament-2)",Royal Thai Air Force,Thailand,6U,2021-06-30,Operational,Earth Observation satellite for Public Protection and Disaster Relief (PPDR).,
1721,NEPTUNO (NEPT-1),Elecnor Deimos,Spain,3U,2021-06-30,Operational,Constellation demonstrator that contributes to a solution that faces the main challenges of maritime surveillance.,
1722,PACE-1 (Payload Accelerator for CubeSat Endeavors),NASA Ames,US,6U,2021-06-30,"No signal, ?",Perform a set of experiments to demonstrate the Advanced Development Projects (ADP) technology.,
1723,Painani-II (Painani 2),University of the Mexican Army and Air Force,Mexico,3U,2021-06-30,"No signal, ?",It will carry a low resolution camera and proposes an S Band downlink using frequency hopping technology for the images.,
1724,"QMR-KWT (Moon of Kuwait, Kuwaiti Orbital Space CubeSat)",Orbital Space,Kuwait,1U,2021-06-30,Operational,Educational mission and capacity building in the nation.,
1725,SpaceBEE-88,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1726,SpaceBEE-89,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1727,SpaceBEE-90,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1728,SpaceBEE-91,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1729,SpaceBEE-92,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1730,SpaceBEE-93,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1731,SpaceBEE-94,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1732,SpaceBEE-95,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1733,SpaceBEE-96,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1734,SpaceBEE-97,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1735,SpaceBEE-98,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1736,SpaceBEE-99,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1737,SpaceBEE-100,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1738,SpaceBEE-101,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1739,SpaceBEE-102,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1740,SpaceBEE-103,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1741,SpaceBEE-104,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1742,SpaceBEE-105,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1743,SpaceBEE-106,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1744,SpaceBEE-107,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1745,SpaceBEE-108,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1746,SpaceBEE-109,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1747,SpaceBEE-110,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1748,SpaceBEE-111,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1749,SpaceBEENZ-7,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1750,SpaceBEENZ-8,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1751,SpaceBEENZ-9,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1752,SpaceBEENZ-10,Swarm Technologies,US,0.25U,2021-06-30,Operational,World’s smallest two-way communications satellites for IoT.,
1753,"SPARTAN (Shared Sat, Shared Platform for Applied Research and Technology Affirmation)",EnduroSat,Bulgaria,6U,2021-06-30,Operational,Seven technology demonstrations and commercial payloads.,
1754,STORK-4,SatRevolution,Poland,3U,2021-06-30,Operational,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
1755,STORK-5 (MARTA),SatRevolution,Poland,3U,2021-06-30,Operational,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
1756,Tiger-2 (Ayan-21),OQ Technology,Luxembourg,6U,2021-06-30,Operational,Demonstrator for IoT constellation.,
1757,TROPICS 1 Pathfinder (The Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats),MIT (Massachusetts Institute of Technology),US,3U,2021-06-30,Operational,Provide rapid-refresh microwave measurements over the tropics for weather prediction.,
1758,"Tyvak-0173 (SIRION-3, EG 3, EG-3, EchoStar Global 3)",EchoStar,US,16U,2021-06-30,Operational,Two tiny S-band satellites to jumpstart a low-Earth-orbit constellation using spectrum gained through its acquisition of Helios Wire.,
1759,W-Cube (wCUBE),ESA (European Space Agency),Finland,3U,2021-06-30,Operational,Demonstrate the use of the 75-GHz frequency W-band for future telecommunications satellites.,
1760,BRO-4 (Breizh Reconnaissance Orbiter),UnSeenLabs,France,6U,2021-08-17,Operational,Spectrum monitoring service. Maritime surveillance. Electromagnetic intelligence service.,
1761,LEDSAT (LED-based Satellite),Sapienza University of Rome,Italy,1U,2021-08-17,Operational,Equipped with LEDs and retroreflectors for optical tracking from ground.,
1762,RADCUBE,C3S,Hungary,3U,2021-08-17,Operational,Real-time monitoring of the cosmic radiation and space weather environment.,
1763,"Sunstorm (XFM Cube, XFM CubeSat, Sunstorm-1, Sun-Storm)",ESA (European Space Agency),Finland,2U,2021-08-17,Operational,Solar X-ray Flux Monitor to monitor solar x-ray flares.,
1764,Binar 1 (Binar-1),Curtin University,Australia,1U,2021-08-29,"Semi-operational, ?",Test CubeSat technologies for deep space missions.,
1765,CAPSat (Cool Annealing Payload Satellite),University of Illinois,US,3U,2021-08-29,Operational,Investigate attitude control with strain-actuated deployable panels plus active thermal system.,
1766,"CUAVA-1 (Centre for CubeSats, Uncrewed Aerial Vehicles and their Applications)",University of Sydney,Australia,3U,2021-08-29,"No signal, ?",Educational mission and multiple radio amateur community activities including W-band (76 GHz) transmitter.,
1767,"Maya-3 (Maya-1.1, BIRDS-2S)",STeP UP University of the Philippines,Philippines,1U,2021-08-29,Operational,Educational and amateur radio mission with visual camera.,
1768,"Maya-4 (Maya-1.2, BIRDS-2S)",STeP UP University of the Philippines,Philippines,1U,2021-08-29,Operational,Educational and amateur radio mission with near-infrared camera.,
1769,"PR-CuNaR2 (Puerto Rico CubeSat NanoRocks-2, PR_CuNar2)",Inter American University of Puerto Rico,US,3U,2021-08-29,"No signal, ?",Study collisions among millimeter-sized particles in a protoplanetary disk.,
